#code1;libelle1;code2;libelle2
007;L.V.E. 1;0001;ALLEMAND
007;L.V.E. 1;0002;ANGLAIS
007;L.V.E. 1;0007;ESPAGNOL
007;L.V.E. 1;0008;ITALIEN
007A;LV1 ECRIT;0001;ALLEMAND
007A;LV1 ECRIT;0002;ANGLAIS
007A;LV1 ECRIT;0003;ARABE
007A;LV1 ECRIT;0007;ESPAGNOL
007A;LV1 ECRIT;0008;ITALIEN
007A;LV1 ECRIT;0009;RUSSE
007A;LV1 ECRIT;0010;PORTUGAIS
007A;LV1 ECRIT;0047;TURC
007B;LV1 ORAL;0001;ALLEMAND
007B;LV1 ORAL;0002;ANGLAIS
007B;LV1 ORAL;0007;ESPAGNOL
007B;LV1 ORAL;0008;ITALIEN
007B;LV1 ORAL;0009;RUSSE
007B;LV1 ORAL;0047;TURC
007BA;LV1 COMP ORAL;0001;ALLEMAND
007BA;LV1 COMP ORAL;0002;ANGLAIS
007BA;LV1 COMP ORAL;0007;ESPAGNOL
007BA;LV1 COMP ORAL;0008;ITALIEN
007BA;LV1 COMP ORAL;0009;RUSSE
007BA;LV1 COMP ORAL;0047;TURC
007BB;LV1 EXP ORALE;0001;ALLEMAND
007BB;LV1 EXP ORALE;0002;ANGLAIS
007BB;LV1 EXP ORALE;0007;ESPAGNOL
007BB;LV1 EXP ORALE;0008;ITALIEN
007BB;LV1 EXP ORALE;0009;RUSSE
007BB;LV1 EXP ORALE;0047;TURC
007C;LV1 ORAL;0001;ALLEMAND
007C;LV1 ORAL;0002;ANGLAIS
007C;LV1 ORAL;0003;ARABE
007C;LV1 ORAL;0007;ESPAGNOL
007C;LV1 ORAL;0010;PORTUGAIS
007C;LV1 ORAL;0047;TURC
008;LANGUE VIV. 2;0001;ALLEMAND
008;LANGUE VIV. 2;0002;ANGLAIS
008;LANGUE VIV. 2;0007;ESPAGNOL
008;LANGUE VIV. 2;0008;ITALIEN
008A;LV2 ECRIT;0001;ALLEMAND
008A;LV2 ECRIT;0002;ANGLAIS
008A;LV2 ECRIT;0003;ARABE
008A;LV2 ECRIT;0007;ESPAGNOL
008A;LV2 ECRIT;0008;ITALIEN
008A;LV2 ECRIT;0009;RUSSE
008A;LV2 ECRIT;0047;TURC
008B;LV2 ORAL;0001;ALLEMAND
008B;LV2 ORAL;0002;ANGLAIS
008B;LV2 ORAL;0007;ESPAGNOL
008B;LV2 ORAL;0008;ITALIEN
008BA;LV2 COMP ORAL;0001;ALLEMAND
008BA;LV2 COMP ORAL;0002;ANGLAIS
008BA;LV2 COMP ORAL;0007;ESPAGNOL
008BA;LV2 COMP ORAL;0008;ITALIEN
008BB;LV2 EXP ORALE;0001;ALLEMAND
008BB;LV2 EXP ORALE;0002;ANGLAIS
008BB;LV2 EXP ORALE;0007;ESPAGNOL
008BB;LV2 EXP ORALE;0008;ITALIEN
008C;LV2 ORAL;0001;ALLEMAND
008C;LV2 ORAL;0002;ANGLAIS
008C;LV2 ORAL;0003;ARABE
008C;LV2 ORAL;0007;ESPAGNOL
008C;LV2 ORAL;0008;ITALIEN
008C;LV2 ORAL;0009;RUSSE
008C;LV2 ORAL;0047;TURC
010;ED.PHYS.SPORT;5011;EPS APTE
010A;1ERE ACT.EPS;5054;GYMNAST. SOL
010A;1ERE ACT.EPS;5055;3 X 500M
010B;2EME ACT.EPS;5056;BADMINTON
010B;2EME ACT.EPS;5700;TENNIS DE TAB
014A;EVA.SPEC.LANG;0001;ALLEMAND
014A;EVA.SPEC.LANG;0002;ANGLAIS
014A;EVA.SPEC.LANG;0007;ESPAGNOL
014A;EVA.SPEC.LANG;0008;ITALIEN
015;EPR.FACULT.1;0001;ALLEMAND
015;EPR.FACULT.1;0002;ANGLAIS
015;EPR.FACULT.1;0003;ARABE
015;EPR.FACULT.1;0007;ESPAGNOL
015;EPR.FACULT.1;0008;ITALIEN
015;EPR.FACULT.1;0009;RUSSE
015;EPR.FACULT.1;0010;PORTUGAIS
015;EPR.FACULT.1;0011;HEBREU
015;EPR.FACULT.1;0012;CHINOIS
015;EPR.FACULT.1;0047;TURC
015;EPR.FACULT.1;0057;L.REG.MOSELLE
015;EPR.FACULT.1;0097;ALBANAIS
015;EPR.FACULT.1;0098;SERBE
015;EPR.FACULT.1;0129;BERBER.CHLEUH
015;EPR.FACULT.1;0131;BERBER.KABYLE
015;EPR.FACULT.1;0148;L.S.F.
015;EPR.FACULT.1;1068;ED.PHYS.SPORT
015;EPR.FACULT.1;3691;EV.SP SEC E/O
015;EPR.FACULT.1;3703;ART-MUSIQUE
015;EPR.FACULT.1;3704;ART-ARTS PLAS
015;EPR.FACULT.1;3706;ART-CINEMA AU
015;EPR.FACULT.1;3707;ART-HIST ARTS
015;EPR.FACULT.1;3708;ART-DANSE
015;EPR.FACULT.1;5011;EPS APTE
015;EPR.FACULT.1;7239;LCA LATIN
015;EPR.FACULT.1;7240;LCA GREC
015;EPR.FACULT.1;7252;ART-THEATRE
015A;ACTIVITE EPS;6001;BIJOUX
015A;ACTIVITE EPS;6002;COURSE HAIES
015A;ACTIVITE EPS;6003;HAUT NIV INDI
015A;ACTIVITE EPS;6004;PODIUM
015A;ACTIVITE EPS;6005;COURSE LONGUE
015A;ACTIVITE EPS;6006;HAUT NIV SCOL
015A;ACTIVITE EPS;6007;UNIFORME
015A;ACTIVITE EPS;6303;FAC NAT DIS
015A;ACTIVITE EPS;6502;F JUDO
015A;ACTIVITE EPS;6602;F DANSE
015A;ACTIVITE EPS;6702;FAC TENNIS
016;EPR.FACULT.2;0001;ALLEMAND
016;EPR.FACULT.2;0002;ANGLAIS
016;EPR.FACULT.2;0003;ARABE
016;EPR.FACULT.2;0007;ESPAGNOL
016;EPR.FACULT.2;0008;ITALIEN
016;EPR.FACULT.2;0012;CHINOIS
016;EPR.FACULT.2;0031;ARMENIEN
016;EPR.FACULT.2;0047;TURC
016;EPR.FACULT.2;0057;L.REG.MOSELLE
016;EPR.FACULT.2;0129;BERBER.CHLEUH
016;EPR.FACULT.2;0148;L.S.F.
016;EPR.FACULT.2;3691;EV.SP SEC E/O
016;EPR.FACULT.2;3703;ART-MUSIQUE
016;EPR.FACULT.2;3704;ART-ARTS PLAS
016;EPR.FACULT.2;3708;ART-DANSE
016;EPR.FACULT.2;5011;EPS APTE
016;EPR.FACULT.2;7239;LCA LATIN
016;EPR.FACULT.2;7252;ART-THEATRE
016A;ACTIVITE EPS;6303;FAC NAT DIS
016A;ACTIVITE EPS;6502;F JUDO
016A;ACTIVITE EPS;6602;F DANSE
016A;ACTIVITE EPS;6702;FAC TENNIS
207;L.V.E. 1;0001;ALLEMAND
207;L.V.E. 1;0002;ANGLAIS
207;L.V.E. 1;0007;ESPAGNOL
208;L.V.E. 2;0002;ANGLAIS
208;L.V.E. 2;0007;ESPAGNOL
