LIBELLE EXAMEN;ANNEE SESSION;MOIS SESSION;SPECIALITE;OPTION SPECIALITE;PARTIC, 1;PARTIC, 2;NUMERO CANDIDAT;CODE EPREUVE;LIBELLE EPREUVE;CODE MATIERE;LIBELLE MATIERE;CONTROLABLE;NOTE;COEFFICIENT EPREUVE;NUMERO GROUPE
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;002;FRANCAIS ORAL; ;;N;9;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;003;HIST.GEOG.; ;;O;6;3;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;004;MATHEMATIQUES; ;;O;4;7;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;005;PHYS-CHIMIE; ;;O;8;6;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;005A;PHYS CHIM ECR; ;;N;5,5;4;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;005B;PHYS CHIM PRA; ;;N;14;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;006-1;ECO AGR TER O; ;;O;9;7;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;006A-1;EC AG TE OB E; ;;N;6;5;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;006B-1;EC AG TE OB P; ;;N;14;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;007;L.V.E. 1; ;;O;9;3;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;007A;LV1 ECRIT;0002;ANGLAIS;N;7,5;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;007B;LV1 ORAL;0002;ANGLAIS;N;9,5;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;007BA;LV1 COMP ORAL;0002;ANGLAIS;N;10;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;007BB;LV1 EXP ORALE;0002;ANGLAIS;N;9;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;008;LANGUE VIV. 2; ;;O;9;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;008A;LV2 ECRIT;0007;ESPAGNOL;N;11;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;008B;LV2 ORAL;0007;ESPAGNOL;N;5,5;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;008BA;LV2 COMP ORAL;0007;ESPAGNOL;N;4;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;008BB;LV2 EXP ORALE;0007;ESPAGNOL;N;7;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;009;PHILOSOPHIE; ;;O;12;3;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;010;ED.PHYS.SPORT;5011;EPS APTE;N;DI;;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;011-1;ECO AGR TER S; ;;N;10;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;017;TRAV PERS ENC; ;;N;13;;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;204;MATHEMATIQUES; ; ;N;5;7;2
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043657;205;PHYS-CHIMIE; ; ;N;8;6;2
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;001;FRANCAIS ECR.; ;;O;11;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;002;FRANCAIS ORAL; ;;N;11;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;003;HIST.GEOG.; ;;O;7;3;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;004;MATHEMATIQUES; ;;O;7;7;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;005;PHYS-CHIMIE; ;;O;8;6;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;005A;PHYS CHIM ECR; ;;N;5,5;4;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;005B;PHYS CHIM PRA; ;;N;16;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;006-1;ECO AGR TER O; ;;O;11;7;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;006A-1;EC AG TE OB E; ;;N;9;5;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;006B-1;EC AG TE OB P; ;;N;13;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;007;L.V.E. 1; ;;O;9;3;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;007A;LV1 ECRIT;0002;ANGLAIS;N;9;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;007B;LV1 ORAL;0002;ANGLAIS;N;9;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;007BA;LV1 COMP ORAL;0002;ANGLAIS;N;6;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;007BB;LV1 EXP ORALE;0002;ANGLAIS;N;12;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;008;LANGUE VIV. 2; ;;O;10;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;008A;LV2 ECRIT;0008;ITALIEN;N;8,5;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;008C;LV2 ORAL;0008;ITALIEN;N;10;1;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;009;PHILOSOPHIE; ;;O;10;3;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;010;ED.PHYS.SPORT;5011;EPS APTE;N;18;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;011-1;ECO AGR TER S; ;;N;6;2;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;017;TRAV PERS ENC; ;;N;15;;1
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;204;MATHEMATIQUES; ; ;N;6;7;2
BACCALAUREAT GENERAL;2017;06;S;EAT;E;R;0516043791;205;PHYS-CHIMIE; ; ;N;12;6;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;001;FRANCAIS ECR.; ;;O;8;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;002;FRANCAIS ORAL; ;;N;5;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;003;HIST.GEOG.; ;;O;13;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;004;MATHEMATIQUES; ;;O;6;7;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;005;PHYS-CHIMIE; ;;O;6;6;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;005A;PHYS CHIM ECR; ;;N;3;4;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;005B;PHYS CHIM PRA; ;;N;16;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;006-2;SC. INGENIEUR; ;;O;8;8;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;006A-2;SC ING ECRIT; ;;N;5;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;006B-3;SC ING ORAL; ;;N;16,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;006BA;COND REV PROJ; ;;N;8,5;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;006BB;PRSENTAT PROJ; ;;N;8;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;007;L.V.E. 1; ;;O;16;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;007A;LV1 ECRIT;0002;ANGLAIS;N;15;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;007B;LV1 ORAL;0002;ANGLAIS;N;17;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;007BA;LV1 COMP ORAL;0002;ANGLAIS;N;16;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;007BB;LV1 EXP ORALE;0002;ANGLAIS;N;18;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;008;LANGUE VIV. 2; ;;O;16;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;008A;LV2 ECRIT;0001;ALLEMAND;N;12,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;008B;LV2 ORAL;0001;ALLEMAND;N;18,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;008BA;LV2 COMP ORAL;0001;ALLEMAND;N;20;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;008BB;LV2 EXP ORALE;0001;ALLEMAND;N;17;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;009;PHILOSOPHIE; ;;O;6;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;010;ED.PHYS.SPORT;5011;EPS APTE;N;15;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;014;EVALUAT.SPEC.; ;;N;15;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;014A;EVA.SPEC.LANG;0002;ANGLAIS;N;15;4;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;014B;EVA.SCOLARITE; ;;N;14;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;015;EPR.FACULT.1;3691;EV.SP SEC E/O;N;15;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;017;TRAV PERS ENC; ;;N;13;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;204;MATHEMATIQUES; ; ;N;13;7;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;E;0316914573;205;PHYS-CHIMIE; ; ;N;9;6;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;001;FRANCAIS ECR.; ;;O;10;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;002;FRANCAIS ORAL; ;;N;9;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;003;HIST.GEOG.; ;;O;5;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;004;MATHEMATIQUES; ;;O;4;7;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;005;PHYS-CHIMIE; ;;O;5;6;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;005A;PHYS CHIM ECR; ;;N;2,5;4;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;005B;PHYS CHIM PRA; ;;N;12;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;006-2;SC. INGENIEUR; ;;O;10;8;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;007;L.V.E. 1; ;;O;8;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;007A;LV1 ECRIT;0002;ANGLAIS;N;7,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;007B;LV1 ORAL;0002;ANGLAIS;N;8;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;007BA;LV1 COMP ORAL;0002;ANGLAIS;N;10;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;007BB;LV1 EXP ORALE;0002;ANGLAIS;N;6;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;008;LANGUE VIV. 2; ;;O;9;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;008A;LV2 ECRIT;0007;ESPAGNOL;N;6;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;008B;LV2 ORAL;0007;ESPAGNOL;N;11,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;008BA;LV2 COMP ORAL;0007;ESPAGNOL;N;14;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;008BB;LV2 EXP ORALE;0007;ESPAGNOL;N;9;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;009;PHILOSOPHIE; ;;O;16;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;010;ED.PHYS.SPORT; ;;N;16;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;017;TRAV PERS ENC; ;;N;10;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;204;MATHEMATIQUES; ; ;N;7;7;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316652979;205;PHYS-CHIMIE; ; ;N;9;6;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;001;FRANCAIS ECR.; ;;O;10;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;002;FRANCAIS ORAL; ;;N;8;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;003;HIST.GEOG.; ;;O;6;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;004;MATHEMATIQUES; ;;O;13;7;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;005;PHYS-CHIMIE; ;;O;4;6;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;005A;PHYS CHIM ECR; ;;N;4;4;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;006-2;SC. INGENIEUR; ;;O;12;8;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;007;L.V.E. 1;0002;ANGLAIS;O;11;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;008;LANGUE VIV. 2; ;;O;6;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;008A;LV2 ECRIT;0001;ALLEMAND;N;6,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;008C;LV2 ORAL;0001;ALLEMAND;N;5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;009;PHILOSOPHIE; ;;O;6;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;010;ED.PHYS.SPORT; ;;N;14;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;203;HIST.GEOG.; ; ;N;13;3;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653066;205;PHYS-CHIMIE; ; ;N;10;6;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653192;001;FRANCAIS ECR.; ;;O;11;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653192;002;FRANCAIS ORAL; ;;N;13;2;1
