#code;libelle
001;FRANCAIS ECR.
002;FRANCAIS ORAL
003;HIST.GEOG.
004;MATHEMATIQUES
005;PHYS-CHIMIE
005A;PHYS CHIM ECR
005B;PHYS CHIM PRA
006-1;ECO AGR TER O
006-2;SC. INGENIEUR
006-3;SC. VIE TERRE
006A-1;EC AG TE OB E
006A-2;SC ING ECRIT
006A-3;S.V.T. ECRIT
006B-1;EC AG TE OB P
006B-2;S.V.T. PRATIQ
006B-3;SC ING ORAL
006BA;COND REV PROJ
006BB;PRSENTAT PROJ
007;L.V.E. 1
007A;LV1 ECRIT
007B;LV1 ORAL
007BA;LV1 COMP ORAL
007BB;LV1 EXP ORALE
007C;LV1 ORAL
008;LANGUE VIV. 2
008A;LV2 ECRIT
008B;LV2 ORAL
008BA;LV2 COMP ORAL
008BB;LV2 EXP ORALE
008C;LV2 ORAL
009;PHILOSOPHIE
010;ED.PHYS.SPORT
010A;1ERE ACT.EPS
010B;2EME ACT.EPS
011-1;ECO AGR TER S
011-2;INFO SC NUMER
013;EPS COMPLEM.
014;EVALUAT.SPEC.
014A;EVA.SPEC.LANG
014B;EVA.SCOLARITE
015;EPR.FACULT.1
015A;ACTIVITE EPS
016;EPR.FACULT.2
016A;ACTIVITE EPS
017;TRAV PERS ENC
201;FRANCAIS ECR.
203;HIST.GEOG.
204;MATHEMATIQUES
205;PHYS-CHIMIE
206-1;ECO AGR TER O
206-2;SC. INGENIEUR
206-3;SC. VIE TERRE
207;L.V.E. 1
208;L.V.E. 2
209;PHILOSOPHIE
