#code;libelle
0001;ALLEMAND
0002;ANGLAIS
0003;ARABE
0007;ESPAGNOL
0008;ITALIEN
0009;RUSSE
0010;PORTUGAIS
0011;HEBREU
0012;CHINOIS
0031;ARMENIEN
0047;TURC
0057;L.REG.MOSELLE
0097;ALBANAIS
0098;SERBE
0129;BERBER.CHLEUH
0131;BERBER.KABYLE
0148;L.S.F.
1068;ED.PHYS.SPORT
3691;EV.SP SEC E/O
3703;ART-MUSIQUE
3704;ART-ARTS PLAS
3706;ART-CINEMA AU
3707;ART-HIST ARTS
3708;ART-DANSE
5011;EPS APTE
5054;GYMNAST. SOL
5055;3 X 500M
5056;BADMINTON
5700;TENNIS DE TAB
6001;BIJOUX
6002;COURSE HAIES
6003;HAUT NIV INDI
6004;PODIUM
6005;COURSE LONGUE
6006;HAUT NIV SCOL
6007;UNIFORME
6303;FAC NAT DIS
6502;F JUDO
6602;F DANSE
6702;FAC TENNIS
7239;LCA LATIN
7240;LCA GREC
7252;ART-THEATRE
