id;code1;libelle1;code2;libelle2;note
0516043791;001;FRANCAIS ECR.; ;;11
0316914573;001;FRANCAIS ECR.; ;;8
0316652979;001;FRANCAIS ECR.; ;;10
0316653066;001;FRANCAIS ECR.; ;;10
0316653192;001;FRANCAIS ECR.; ;;11
0316653348;001;FRANCAIS ECR.; ;;9
0316654471;001;FRANCAIS ECR.; ;;8
0316655480;001;FRANCAIS ECR.; ;;6
0316657825;001;FRANCAIS ECR.; ;;11
0316658595;001;FRANCAIS ECR.; ;;9
0316659220;001;FRANCAIS ECR.; ;;9
0316913865;001;FRANCAIS ECR.; ;;7
0316913881;001;FRANCAIS ECR.; ;;10
0316913976;001;FRANCAIS ECR.; ;;8
0316914086;001;FRANCAIS ECR.; ;;10
0316914259;001;FRANCAIS ECR.; ;;10
0316914269;001;FRANCAIS ECR.; ;;11
0316914545;001;FRANCAIS ECR.; ;;8
0316914554;001;FRANCAIS ECR.; ;;6
0316914625;001;FRANCAIS ECR.; ;;7
0316915138;001;FRANCAIS ECR.; ;;8
0316915141;001;FRANCAIS ECR.; ;;8
0316915418;001;FRANCAIS ECR.; ;;9
0316915487;001;FRANCAIS ECR.; ;;8
0316915740;001;FRANCAIS ECR.; ;;7
0316915933;001;FRANCAIS ECR.; ;;5
0316916343;001;FRANCAIS ECR.; ;;12
0316916389;001;FRANCAIS ECR.; ;;6
0316916785;001;FRANCAIS ECR.; ;;7
0316916843;001;FRANCAIS ECR.; ;;11
0316917112;001;FRANCAIS ECR.; ;;7
0316917573;001;FRANCAIS ECR.; ;;7
0316917616;001;FRANCAIS ECR.; ;;11
0316917705;001;FRANCAIS ECR.; ;;8
0316918025;001;FRANCAIS ECR.; ;;9
0316918135;001;FRANCAIS ECR.; ;;8
0316918274;001;FRANCAIS ECR.; ;;8
0316918288;001;FRANCAIS ECR.; ;;6
0316918757;001;FRANCAIS ECR.; ;;10
0316919125;001;FRANCAIS ECR.; ;;10
0316919924;001;FRANCAIS ECR.; ;;4
0316920051;001;FRANCAIS ECR.; ;;9
0516187613;001;FRANCAIS ECR.; ;;8
0316917282;001;FRANCAIS ECR.; ;;7
0316913738;001;FRANCAIS ECR.; ;;7
0316913938;001;FRANCAIS ECR.; ;;10
